Baietii buni ajung în Rai,2024,1h 26m,G,"Dan dies in a car accident. He arrives in Paradise and finds out that he is not alone in this place: Laura, the girl he was in love with in high school, is also here. Will the two finally manage to be together?","https://m.media-amazon.com/images/M/MV5BYjYyMzc4YWUtOTI1MC00MGYzLWIxY2YtZjhmMjViYjAxYjhjXkEyXkFqcGdeQXVyMTc3Mjc1MDY0._V1_QL75_UX190_CR0,28,190,281_.jpg",Radu Potcoavã,"Aura Calarasu,Sergiu Costache,Bogdan Dumitrache,Serban Pavlu,Liviu Pintileasa,Marian Râlea,Ilinca Sava,Cosmina Stratan,Florentina Tilea","Comedy,Drama",0
Oru Nodi,2024,2h 8m,G,"Police Inspector Paridhi Ilamaran investigates the disappearance of Sakuththala's husband with money, uncovering a web of political corruption and organized crime in Madurai.","https://m.media-amazon.com/images/M/MV5BMmRjN2E4ZGUtMzFkZC00OThjLTk4MjUtMjMyMWM1NzY5YjNiXkEyXkFqcGdeQXVyMTgwMTE0MTk1._V1_QL75_UY281_CR18,0,190,281_.jpg",B. Manivarman,"Thaman Kumar,M.S. Bhaskar,Sri Ranjani,Gajaraj,Vela Ramamoorthy,Karuppu Nambiyaar,Pala Karuppaiah",Crime,0
The Architecture of Love,2024,1h 50m,TV-14,"Raia is a famous writer who suffers from writer's block. In order to get inspired again, he then went to New York. It was in that city that Raia met River and then got involved in a love story that was overshadowed by the past.","https://m.media-amazon.com/images/M/MV5BM2JjMTcwN2UtZGQyYS00MzFhLWE3YjItYTk0NmRhMmIzNzFmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR18,0,190,281_.jpg",Teddy Soeriaatmadja,"Nicholas Saputra,Putri Marino,Jerome Kurnia,Jihane Almira,Omar Daniel,Refal Hady,Agla Artalidia,Arifin Putra,Lydia Kandou,Willem Bevers,Imelda Therinne,Jeremie J. Tobing,Daffa Wardhana,Mentari De Marelle,Kamila Andini,Mithu Nisar,Nazyra C. Noer,Jennifer Collard","Drama,Romance",0
Marigold,2024,2h 7m,G,Krishna and his friends plan to steal a stash of gold from police officers. But their plan gets messed up. Will he solve the mystery and set things right?,"https://m.media-amazon.com/images/M/MV5BYWY2NDE2ZTUtZDM3My00MDM4LWFjNDEtZjNmZmIxNDQ1MDRjXkEyXkFqcGdeQXVyMTA1NzEzOTU1._V1_QL75_UY281_CR5,0,190,281_.jpg",Raghavendra M. Naik,"Diganth,Mahantesh Hiremath,Sandeep Malani,Sampath Mythria,Bala Rajawadi,Vajrang Shetty,Yash Shetty,Sangeetha Sringeri,Cockroach Sudhi","Comedy,Thriller",0
El placer es mío,2024,1h 36m,G,What was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile.,"https://m.media-amazon.com/images/M/MV5BOThhNDJlYWUtODYwYi00NjJlLTliODQtMzE5ODI4ZTdiZDY5XkEyXkFqcGdeQXVyNDUzMzA5MTQ@._V1_QL75_UY281_CR11,0,190,281_.jpg",Sacha Amaral,"Max Suen,Katja Alemann,Anabella Bacigalupo,Silvia Cobelo,Ramón Cohen Arazi,Belén Datwiller,Vladimir Durán,Paco Fernández Onnainty,Iván Haidar,José Vicente Orozco,Sofía Palomino,Iair Said,Luciano Suardi,Julián Larquier Tellarini,Ivana Zacharsky",Drama,0
Chao yi shen tan,2024,1h 34m,G,A former police officer who gets dragged into a game initiated by an intelligent killer to punish criminals outside the law,"https://m.media-amazon.com/images/M/MV5BMjgwOGJjNDEtYTQ2Ny00MTMxLWFlM2EtYmE0MmNkMDYyNjIwXkEyXkFqcGdeQXVyNzg5NTE1MzE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Ming-Sing Wong,"Nick Cheung,Yishang Zhang,Patrick Tam,Niki Chow,Yongqi Liang,Michael Tong,Tin-Chiu Hung,Wenjing Bao,Zun Wang","Crime,Mystery",0
Turbo,2024,2h 35m,G,"Jose, a jeep driver from Idukki gets in trouble and is forced to relocate to Chennai where he gets entangled with Indhu and his best friend, Jerry. However, a bunch of surprises in the form of Vetrivel and others await Jose in Chennai.","https://m.media-amazon.com/images/M/MV5BOWZiYzE5YjItNjVjNS00MzZjLTkwMTMtODBjNGIxMzQxOTg0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY281_CR2,0,190,281_.jpg",Vysakh,"Mammootty,Raj B. Shetty,Sunil,Anjana Jayaprakash,Kabir Duhan Singh,Johny Antony,Alexander Prasanth,Shabareesh Varma,Koushik Mahata,Dileesh Pothan,Niranjana Anoop,Abin Bino,Amina Nijam,Bindu Panikkar,Namo Narayanan","Action,Comedy",0
+Cuñados,2024,1h 29m,G,"Sabonis, Eduardo and Modesto get in troubles again when the wife of the Portuguese criminal lord they helped to arrest appears claiming to recover the lost money when he was arrested.","https://m.media-amazon.com/images/M/MV5BMzc4YjhmYTgtMTIyMy00ZTc2LTgwYjUtNjY2N2ViZDBjMjlmXkEyXkFqcGdeQXVyODI4ODg3NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg",Luis Avilés,"Xosé A. Touriñán,Miguel de Lira,Federico Pérez Rey,Eva Fernández,Iolanda Muíños,María Vázquez,Mela Casal,Ivo Bastos,Ana Saltão,Nuno Sá,Manuel Cortés,David Perdomo,Paku Granxa,Brais Yanek,Patricia Torres,Antía Touriñán,Moraima Duarte,Saamira Ganay",Comedy,0
Get Close 2,2024,2h 35m,G,"Believing that he was set up by Don Galvino, Slick sets things in motion in order to get close enough to Don Galvino to exact his revenge.","https://m.media-amazon.com/images/M/MV5BNGViOWFhYmEtZWZiNS00Nzc3LTg1NTYtNzdjZDU4ZmY5YTIzXkEyXkFqcGdeQXVyNTI3NzE4MTk@._V1_QL75_UY281_CR11,0,190,281_.jpg",Andre Dixon,"Jamal Woolard,Nikia Briggs Kia B,Markice Moore,Paul Van Scott,Kevin Winn,Jimmy Fitts,Gena Lashay,Johnny Gagliano,Komal Patel,LaShondra,Mary A. Toyama,Kierra Pitts,Parnesha Ingram,Jordan Gaskin,Kasandra Perozo,Jana Collette Henry,Aaron M. Torres,Jacoline Frank","Action,Adventure,Crime",0
A Desert,2024,1h 40m,G,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror.","https://m.media-amazon.com/images/M/MV5BOWY3YzRiYWMtOWZjZC00NDk4LWJmYjMtZGRmODQ4MWVjM2UzXkEyXkFqcGdeQXVyMzE2NjMxODI@._V1_QL75_UY281_CR165,0,190,281_.jpg",Joshua Erkman,"David Yow,Kai Lennox,Sarah Lind,Zachary Ray Sherman,Ashley B. Smith,Rob Zabrecky,Bill J. Stevens,S.A. Griffin,Alexandra Ryan,William Bookston,Harmony Sandoval,Anthony Cozzi","Horror,Thriller",0
