Javier Milei: La revolución liberal,2023,2h 2m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BOWU5NjAzNzktNTA3OS00NzZhLWIwOGEtNDRhNTM3NDJhNzJmXkEyXkFqcGdeQXVyMTY2ODM3NA@@._V1_QL75_UY281_CR18,0,190,281_.jpg",Santiago Oría,"Javier Milei,Karina Milei,Victoria Villarruel,Ramiro Marra,Lilia Lemoine,Nicolás Emma,Alberto Benegas Lynch,Miguel Boggiano,Manuel Adorni,Agustín Laje,Agustín Romo,Santiago Oría,Alejandro Fantino",Documentary,0
Avanzers Italian Super Heroes,2023,2h 7m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BNzEwZDZjYjAtZGFkYS00MTU2LWJhMDktNzA4OTE4MzRlOWNlXkEyXkFqcGdeQXVyMTg5MDExNzA@._V1_QL75_UY281_CR11,0,190,281_.jpg",Cosimo Bosco,"Ciro Villano,Francesca Ceci,Walter Lippa,Maurizio Mattioli,Jessica Botti,Davide Marotta,Marco Esposito,Maurizio Siano,Jerry Sica,Raffaele Carotenuto,Pier Maria Cecchini,Anna D'Auria,Raffaele De Vita,Giancarlo del Diavolo,Pamela Formisano,Francesco Gori,Giuseppe Guastaferro,Simone Lucia","Comedy,Fantasy",0
Svet,2023,1h 48m,G,"On the threshold of her sixtieth birthday, Tatyana Sergeevna unexpectedly faces a past that she has always tried to forget. It makes her look back and realize what kind of life she lived.","https://m.media-amazon.com/images/M/MV5BNDJlOWZkZDMtMzFjYy00ZjA1LWE3MWEtZGRkZGEzNDlhZTliXkEyXkFqcGdeQXVyMTUzNzI3MTU4._V1_QL75_UY281_CR3,0,190,281_.jpg",Anton Kolomeets,"Galina Alekhina,Pavel Galynskiy,Yuliya Gomanyuk,Dina Gubaydullina,Yan Ilves,Daria Konyzheva,Anatoliy Kormanovskiy,Valeriy Pankov,Sergey Shanin,Viktoriya Verberg,Milana Vladykina,Sergey Volkov,Elena Yakovleva,Elena Zhdanova",Drama,0
Reception,2023,1h 24m,G,Six friends reunite to attend the wedding of a high school sweetheart couple they knew.,"https://m.media-amazon.com/images/M/MV5BNWNlZWI1YzUtOGQzZi00MjI1LWFlMWUtZmViZTkwNmM4MjVmXkEyXkFqcGdeQXVyMTI1OTUwNzY2._V1_QL75_UX190_CR0,0,190,281_.jpg",Nick La Marca,"Roshan Ahmed,Kyra Badiner,Shannon Barry,Noah Dean Davenport,Sarah Doerner,Charlotte Forward,Greg La Marca,Nick La Marca,Veronica Maccari,Elizabeth Manning,Manny Martinez,Kaylee McGregor,Jackson Shipman,Liza Stephanian,Sam Uehling,Allan Weedman",Comedy,0
David,2023,2h 35m,G,"The story revolves around the protagonist, Gautham, his love interest Shreya, and the renowned industrialist Mr. Sharma; it contains four parallel stories that are all connected by one single incident. The story unravels many secrets through its course, as the search for the mysterious David begins.","https://m.media-amazon.com/images/M/MV5BM2Y3NTcyN2YtYWQ1Ni00OGRhLWEyYWUtYTlkYzA4Y2FjMWEyXkEyXkFqcGdeQXVyNjY0OTkzMjk@._V1_QL75_UX190_CR0,2,190,281_.jpg",Bargav,"Shreyas Chinga,Avinash,Sarah Harish,Rakesh Adiga,Kaavya Sha,Peter Grabinski,Prathap Narayanan,Bijju,Sid,Bullet Prakash","Action,Drama,Horror",0
Love Nation,2023,1h 58m,G,"This is a Story of Scientist Played by Deepak Parashar who was the messenger to Peacefulness and the Lover of Mankind, lost his life while following the path of ''Ahimsa Parmo Dharma'' by his subtle thinking, proposed by him to diffuse the bomb and Nuclear explosion not to Create a War. Rather to shower the Love and Affection upon Mankind. Now, concluding the whole pa... Read all","https://m.media-amazon.com/images/M/MV5BZWRlMTZlNGUtYTJiZC00MThmLTg4NTktNGUwMjgyMGE5MWY4XkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_QL75_UY281_CR7,0,190,281_.jpg",Basith Ahmed Khan,"Dharmendra,Adeeb,Maviya,Govind Namdeo,Milind Gunaji,Ashish Vidyarthi,Harshita Panwar,Sejal Sharma,Deepak Parashar,Mushtaq Khan","Drama,Sci-Fi",0
Telekinez,2023,1h 32m,G,About exorcism in the Soviet years in an atheistic family.,"https://m.media-amazon.com/images/M/MV5BMjNhOGVlYTYtMGU4Ni00OGJiLWFhMzQtYjBiZjQ2MjRkZWY5XkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_QL75_UY281_CR4,0,190,281_.jpg",Konstantin Maksimov,"Vladislav Abashin,Andrey Anisimov,Nikolay Dobrynin,Evgeniy Koryakovskiy,Alevtina Mayer,Aleksey Onezhen,Olga Pogodina,Vadim Skob,Ekaterina Tarasova","Horror,Mystery,Thriller",0
Cheng gong bu xi ban,2023,1h 58m,12+,"Visiting their former terminally ill teacher, Mickey, three men reminisce about their youth. Mickey often talked about romantic relationships and sexuality Mickey taught the students to understand homosexuals and themselves.","https://m.media-amazon.com/images/M/MV5BZTdkNzVjZWYtZTY0MS00YzViLTg2MDMtYzM0ZGNjOGRjNTc1XkEyXkFqcGdeQXVyNTg5NjQxMjc@._V1_QL75_UY281_CR4,0,190,281_.jpg",Blue Cheng-Lung Lan,"Huai-Yun Zhan,Yi-tai Chiu,Chien-Ho Wu,Yan-Hsi Hou,Charlize Lamb,Chen Bo-lin,Ying-Ru Chen,Yu-Hao Chen,Hsin-Ling Chung,Nikki Hsieh,Blue Cheng-Lung Lan,Heme Liao,Yang-Hsuan Liu,Tzu-Cheng Lo,Ching-i Pai,Hsueh-Liang Pu,Eric Kun-Xian Tai,Chia-Hung Tsai",Drama,0
Soppana Sundhari,2023,2h 25m,G,"NCB unit of police is implementing a secret mission which is led by a brave police officer, Saro (Varun Thushyanthan), in order to collect information regarding the drugs network. On the other side, there are three thieves (Kajanan, Joel and Naresh) who usually break into house to fulfill their day-to-day needs of life. Later they decided to rob from a filthy rich wom... Read all","https://m.media-amazon.com/images/M/MV5BZjYyODc1MzktYmY4Ni00MDQzLTg4NDgtZjRhMGNjNTJmMTgxXkEyXkFqcGdeQXVyNjA2MzQyMTk@._V1_QL75_UY281_CR5,0,190,281_.jpg",Mathavan Maheswaran,"Thanushan Chelvanathan,Joel Chriz,Gk Reginold Eroshon,Pearlijja Jeyarajah,Jenoshan Jeyaratnam,Kajanan Kailainathan,Mathavan Maheswaran,Antony Stanley Meylisha,Naresh Nagendran,Niranjani Shanmugaraja,Varuon Thushyanthan","Comedy,Thriller",0
L'océan vu du coeur,2023,1h 36m,G,"A look at the ocean in its wholeness. Hubert Reeves, surrounded by passionate scientists and explorers, presents us with an overview that explores the diversity of its living organisms, the necessity to protect it, the threats it faces due to human activities, but also the possibilities for preventing them and its extraordinary ability to regenerate itself when given ... Read all","https://m.media-amazon.com/images/M/MV5BNjc3ZWU5NjUtNWJjMy00MDFlLWJhMjQtODcyOTQ5M2RlNTI5XkEyXkFqcGdeQXVyMDA5MDg4Nw@@._V1_QL75_UY281_CR3,0,190,281_.jpg",Iolande Cadrin-Rossignol,"Jonathan Balcombe,Tamatoa Bambridge,Sandra Bessudo,Gilles Boeuf,Valérie Cabanes,Mario Cyr,Chloé Dubois,Laetitia Hedouin,Frédéric Lenoir,Uapukun Mestokosho,Lyne Morissette,Hinano Murphy,Claire Nouvian,Daniel Pauly,Éric Pedupede,Hubert Reeves,Patrick Rochette,Christian Sardet",Documentary,0
