Family Tree,2024,1h 33m,G,"In FAMILY TREE, Black land ownership and sustainable forestry are one and the same, and two North Carolina families take on the challenge of building intergenerational wealth while raising healthy forests. Historically, because of knowledge gaps around land stewardship, Black owners have sold their precious acreage to developers. Guided by forestry experts Sam Cook, M... Read all","https://m.media-amazon.com/images/M/MV5BNzY4ZmJiZGItNDdiNy00NDgwLWJhYzQtYTdjMGY2ZGZjY2JjXkEyXkFqcGdeQXVyMjM4OTgzODg@._V1_QL75_UX190_CR0,0,190,281_.jpg",Jennifer MacArthur,"Sam Cook,Mavis Gragg,Jennifer 'Nikki' Jefferies,Natalie Jefferies,Sidney Jefferies,Edith Newby,Alton Perry,Edna Williams,Tremaine Williams,Trey Williams,Tyron Williams,Tyrone Williams,Avery Wokocha",Documentary,0
Para Nerede,2024,1h 55m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BOWI5YjVhNzgtNmEyYS00ODE3LThmMzktMDAzNWZjNGVmZDEzXkEyXkFqcGdeQXVyODczMDQ2MzM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Hasan Dogan,"Ceren Benderlioglu,Sergen Deveci,Duygu Keser,Binnur Serbetçioglu,Can Verel",Comedy,0
Domovoy,2024,1h 42m,G,"Orphans, Varya and Arseniy move from their native village to the house of their adoptive parents. But hope for a happy life fades when they are challenged by an ancient otherworldly force.","https://m.media-amazon.com/images/M/MV5BNGFiMDgyZjItM2FhMy00ODY4LWE4MjgtMWMwOWVlYzllN2RkXkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Andrey Zagidullin,"Aleksandra Babaskina,Irina Brazgovka,Irina Chipizhenko,Oleg Chugunov,Maria Evseeva,Roza Khayrullina,Slava Kiselyova,Vitaliy Kishchenko,Igor Konyakhin,Vasilisa Nemtsova,Ekaterina Paklina,Evgeniy Pisarev,Anna Schetinina,Georgiy Topolaga,Nataliya Vdovina","Horror,Fantasy",0
Mallemogga,2024,2h 12m,G,"Srinivas Sashtri, the head of the village, lives with his wife Padmavati and a 12 year old daughter Mallika, who is very close to their servant Soori. When Padmavati dies, Sashtri gets Mallika married while Soori gets married to other girl","https://m.media-amazon.com/images/M/MV5BZTdiY2U2M2QtOGU5NS00N2E3LWEzYmEtNTkwODIxNDVkNDQ1XkEyXkFqcGdeQXVyMTUwNzQzNzUz._V1_QL75_UX190_CR0,2,190,281_.jpg",Thota Nag,"Ramtej Mummidi,Varshini Arza,Mounika Reddy,Bhanuchander,Prasad Babu,Kota Shankar Rao,Pilla Prasad,Chatrapathi Sekhar,Devi Sri,Syed Riyaz","Drama,Family",0
Dearly Beloved,2024,1h 57m,G,A deeply moving tale of how a couple with a blended family can keep their relationship from falling apart. Witness the story of an unconditional love and second chances.,"https://m.media-amazon.com/images/M/MV5BNWFjOTlmMjAtOGI2Ny00Yzk0LThhYjYtMzQ1NTVlMjE3ZjhjXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Marla Ancheta,"Cristine Reyes,Baron Geisler,Althea Ruedas,TG Daylusan,Katrina Dovey,Phoebe Walker,Rey 'PJ' Abellana,Germaine De Leon,Felix Roco,Guji Lorenzana,Benj Manalo,Maricar Dela Fuente,Kamille Filoteo,Charles Law,Rita Martinez,Robbie Wachtel,Zsara Laxamana,Ralph Engle",Drama,0
Pagpag 24/7,2024,2h 10m,G,"Haunted by the ghost of a past crime, two friends find themselves stranded with strangers in a convenience store where abandoned souls await their victims.","https://m.media-amazon.com/images/M/MV5BY2JmN2Q0MGYtY2FlMi00MjA0LWExNjEtODIyZmM2OTEyMDdkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_QL75_UY281_CR17,0,190,281_.jpg",JR Reyes,"Jerald Napoles,Nicco Manalo,Danita Paner,Wilbert Ross,Nikko Natividad,Dindo Arroyo,Maricor Canlas,Star Orjaliza,Butchoy Ubaldo,Jyra De Guzman",Comedy,0
Ngesot,2024,2h 35m,G,A sole breadwinner sort to desperate measures to survive jungle ordeals and mysterious supernatural encounters after going missing from radar while driving back home one late night. His co-driver friend is nowhere to be found.,"https://m.media-amazon.com/images/M/MV5BMmZiNWI5YjEtZWQ5OC00Y2FiLWJhZWEtNWZmM2RjNTkzZDI1XkEyXkFqcGdeQXVyMTUzMDA3Mjc2._V1_QL75_UY281_CR3,0,190,281_.jpg",Ayez Shaukat Fonseka Farid,"Zul Huzaimy,Sharifah Sakinah,Luqman Hafidz,Khir Rahman,Zakaria Zahid","Adventure,Drama,Thriller",0
C'era una volta il Derby Club,2024,1h 30m,G,The story of the most important stand up comedian joint in all Italian Entertainment history told by the people who started their career there from 1959 to 1984.,"https://m.media-amazon.com/images/M/MV5BZWUwNGU0ZGEtMDk3MS00M2E1LWJmYzUtZjM2NmRmNzZmNjgyXkEyXkFqcGdeQXVyNTA1NTEyMg@@._V1_QL75_UY281_CR4,0,190,281_.jpg",Marco Spagnoli,"Diego Abatantuono,Aldo Baglio,Enrico Beruschi,Claudio Bisio,Massimo Boldi,Antonio Catania,Elio,Enrico Intra,Enzo Jannacci,Anna Melato,Michele,Stefano Nazzi,Lino Patruno,Cochi Ponzoni,Giacomo Poretti,Renato Pozzetto,Marisa Rampin,Paolo Rossi","Documentary,Comedy,History",0
Bhavanam - The Haunted House,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BY2ZhZTVkNTYtNzM5Yi00MWRlLTk5NjctMjZiZDE3NjRkNDNmXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_QL75_UY281_CR4,0,190,281_.jpg",Balachary Kurella,"Sneha Ullal,Dhanraj,Muralidhar Goud,Ajay,Prabhakar,Getup Srinu,Harika,Sapthagiri,Naga Mahesh,Shakalaka Shankar,Thagubothu Ramesh,Manichandana,Satheeshan,Snigda,Jeevan Naidu,Shravan,Bitthiri Sathi,Haanvika",,0
The Proof,2024,2h 35m,G,"Revolves around a trial of a girl's gruesome murder case, a covert consequence of a drug trafficking scandal, and its cover-up.","https://m.media-amazon.com/images/M/MV5BOWM3MzU4YjYtZGFlYi00NDU1LWE3ZTktZTViZGFiNzQ5YjdjXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX190_CR0,2,190,281_.jpg",I. Radhika,"Dhansika,Rudhveer Varadhan,Mime Gopi,Riythvika Panneerselvam,Ashok Kumar Balakrishnan,G. Marimuthu,Ashmitha,Rajasimman,Indraja Sankar",,0
Trapezium,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BOTA5MWEyNGMtZGQyZS00MDhmLTliZGMtZWVhOWI2NmQ0MmMxXkEyXkFqcGdeQXVyODMyNTM0MjM@._V1_QL75_UY281_CR5,0,190,281_.jpg",Masahiro Shinohara,Asaki Yuikawa,"Animation,Musical",0
Uma Musume: Pretty Derby - Beginning of a New Era,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BODRkYmQ5MmMtZWU1Zi00ODIyLWFlMzAtZmRlZjk4NmRlODVhXkEyXkFqcGdeQXVyMTM3NDc1OTM2._V1_QL75_UY281_CR5,0,190,281_.jpg",Ken Yamamoto,"Yuri Fujimoto,Sumire Uesaka,Yui Ogura","Animation,Sport",0
Bonsai,2024,1h 30m,G,"16-year-old Max Steven's must return to school after a traumatic summer, and he knows it won't be easy. Everywhere he goes he is reminded of past events. As he constantly pushes other away, he meets a new girl and falls in love.","https://m.media-amazon.com/images/M/MV5BNDU4YzhjYTMtOTI5My00YzExLTgxZjctYmJhNjNjNjczOWI2XkEyXkFqcGdeQXVyMTA1MTU0NjM1._V1_QL75_UY281_CR46,0,190,281_.jpg",Nate Allen,"Lincoln Pekock,Lily Ewald,Connor Murray,Brian Shea,Dominic Mazzariello,Ayda Mcellan,Elliot Mcquide",Drama,0
Nada Será Como Antes,2024,1h 19m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BYmM5MTUwZmEtNjE1ZS00ZDc4LTg1YzktYjZkNGUwNjk3NTNlXkEyXkFqcGdeQXVyNjcyNzkyMDY@._V1_QL75_UX190_CR0,2,190,281_.jpg",Ana Rieper,"Lô Borges,Beto Guedes,Toninho Horta,Milton Nascimento,Wagner Tiso",Documentary,0
Juliette au printemps,2024,1h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BOTQxZTcwZjAtZmY2Ni00ODNmLTk1NTMtYzc3YjU3OThiYzdhXkEyXkFqcGdeQXVyMzA4MDA0Mjc@._V1_QL75_UY281_CR155,0,190,281_.jpg",Blandine Lenoir,"Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin,Noémie Lvovsky,Éric Caravaca,Salif Cissé,Thomas de Pourquery,Liliane Rovère,Leny Morand",Comedy,0
Supersiostry,2024,2h 35m,G,A teenager finds herself being pursued by the military after she discovers she can manipulate gravity.,"https://m.media-amazon.com/images/M/MV5BMGUxOWI1ZjctZTQyYi00NmE0LTk3YmYtMGM1NWMwMjNmN2U4XkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_QL75_UY281_CR107,0,190,281_.jpg",Maciej Barczewski,"Grzegorz Damiecki,Mateusz Kosciukiewicz,Karolina Bruchnicka,Marek Kalita,Katarzyna Galazka,Tymoteusz Fraczek","Drama,Fantasy",0
Dream Thief,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BOWRmMTQzYTktNjJmZS00MjNkLTlkNjctM2EzOTI4NzEyNDZkXkEyXkFqcGdeQXVyMjk3ODU0MjQ@._V1_QL75_UY281_CR46,0,190,281_.jpg",Raul Abarca,"Fawn Winters,Tullia Ferraro,Aleks Toivola,Linnea Mullen,Raekwon Ragland,Elise Jordin,Ryan Woods,Michael Jon Murphy,Patrick Brooker","Drama,Mystery",0
Zoloto Umalty,2024,1h 54m,G,"Robbers in shamanic masks attack the convoy and steal 40 pounds of gold. The St. Petersburg gold miner accuses the nomadic Tungus tribe, recruits a detachment of thugs to return the stolen goods and take revenge, but not only he has prospects for gold.","https://m.media-amazon.com/images/M/MV5BNjEwNzMyMGUtMjY5ZS00MWI2LWI3Y2EtYzU2OGYwMWI1ZTQwXkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_QL75_UX190_CR0,9,190,281_.jpg",Andrey Bogatyrev,"Marat Abdrakhimov,Daulet Abdygaporov,Evgeniy Antropov,Andrey Bogatyrev,Dmitriy Bykovskiy-Romashov,Wolfgang Cerny,Yuriy Chulkov,Pavel Derevyanko,Sofya Ernst,Michael Gor,Lyudmila Grigorash,Dmitriy Khasis,Artyom Kolyazin,Vladimir Kopush,Ivan Kupreenko,Denis Kuznetsov,Valeriy Li,Mikhail Millionov","Action,Adventure,Drama",0
